original_text,normalized_word_text,dict_word,dict_lang,fuzzy_word,fuzzy_lang,fuzzy_confidence,checked_text,checked_lang,lemmatized_text,polarity_score,polarity_label,status,error_message
Mia,mia,Mia,Swahili,,,0.0,Mia,Swahili,,0.0,,pending_gpu,
Kasuku,kasuku,Kasuku,Swahili,,,0.0,Kasuku,Swahili,,0.0,,pending_gpu,
leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
Leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
"Leng""","leng""",,Unknown,lengo,Swahili,80.0,lengo,Swahili,,0.0,,pending_gpu,
pilili,pilili,,Unknown,pilipili,Swahili,85.71428571428572,pilipili,Swahili,,0.0,,pending_gpu,
leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
Leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
"leng""","leng""",,Unknown,lengo,Swahili,80.0,lengo,Swahili,,0.0,,pending_gpu,
leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
leng,leng,,Unknown,lengo,Swahili,88.88888888888889,lengo,Swahili,,0.0,,pending_gpu,
akoogo,akoogo,,Unknown,koongo,Swahili,83.33333333333334,koongo,Swahili,,0.0,,pending_gpu,
dadi,dadi,,Unknown,idadi,Swahili,88.88888888888889,idadi,Swahili,,0.0,,pending_gpu,
dadi,dadi,,Unknown,idadi,Swahili,88.88888888888889,idadi,Swahili,,0.0,,pending_gpu,
uuuu,uuuu,,Unknown,tuutuu,Swahili,80.0,tuutuu,Swahili,,0.0,,pending_gpu,
Masivunyo,masivunyo,,Unknown,majivuno,Swahili,82.35294117647058,majivuno,Swahili,,0.0,,pending_gpu,
toyimba,toyimba,,Unknown,tomba,Swahili,83.33333333333334,tomba,Swahili,,0.0,,pending_gpu,
mwe,mwe,,Unknown,mbwe,Swahili,85.71428571428572,mbwe,Swahili,,0.0,,pending_gpu,
baddala,baddala,,Unknown,badala,Swahili,92.3076923076923,badala,Swahili,,0.0,,pending_gpu,
ninyija,ninyija,,Unknown,ninyi,Swahili,83.33333333333334,ninyi,Swahili,,0.0,,pending_gpu,
iimwe,iimwe,,Unknown,zimwe,Swahili,80.0,zimwe,Swahili,,0.0,,pending_gpu,
